,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,市值,股息率,日期
393,600277,亿利洁能,4.72,1.51,20.94,20.96,1.02,0.40,1.33,10.07,化学原料,1680613.6756,0.9289,2022-05-17
396,600282,南钢股份,3.17,-0.63,5.1,4.77,0.72,0.12,0.26,4.42,钢铁行业,1953447.2015,7.8486,2022-05-17
405,600325,华发股份,7.91,-4.24,5.0,5.24,0.95,0.50,0.32,0.46,房地产开发,1674674.4428,5.6891,2022-05-17
409,600335,国机汽车,7.0,-1.96,41.96,39.82,0.96,-,0.25,11.25,汽车服务,1019812.7457,1.7143,2022-05-17
411,600339,中油工程,2.87,0.7,33.2,34.88,0.64,-,0.19,-14.91,采掘行业,1602363.3242,1.6028,2022-05-17
413,600348,华阳股份,10.62,1.72,5.84,7.23,1.22,0.03,0.7,3.38,煤炭行业,2554110.0,2.354,2022-05-17
414,600350,山东高速,5.56,-0.54,8.66,8.76,0.9,0.16,1.63,2.89,铁路公路,2675008.2165,6.8345,2022-05-17
415,600352,浙江龙盛,10.4,-0.57,12.19,10.03,1.1,-,1.99,7.43,化学制品,3383465.1344,2.4038,2022-05-17
417,600362,江西铜业,17.41,0.93,9.65,10.7,0.75,0.06,0.13,6.79,有色金属,6028611.8941,0.5744,2022-05-17
419,600369,西南证券,3.6,0.0,36.06,23.04,0.95,-,10.03,22.42,证券,2392239.2846,2.7778,2022-05-17
420,600373,中文传媒,10.4,-0.38,6.85,6.9,0.84,0.57,1.31,6.09,文化传媒,1409266.2678,5.2885,2022-05-17
421,600376,首开股份,5.18,-4.25,29.19,19.3,0.52,-,0.23,6.68,房地产开发,1336214.7954,7.722,2022-05-17
422,600377,宁沪高速,8.16,0.87,10.73,9.84,1.3,0.16,2.94,7.43,铁路公路,4110801.96,5.6373,2022-05-17
423,600383,金地集团,13.16,0.23,6.27,6.31,0.94,-,0.56,4.14,房地产开发,5941191.9808,5.3191,2022-05-17
425,600390,五矿资本,4.61,-0.22,7.35,6.1,0.52,-,1.74,3.04,多元金融,2073608.1766,7.6356,2022-05-17
426,600398,海澜之家,5.07,-1.74,9.23,8.79,1.44,0.24,1.1,5.38,纺织服装,2190039.8212,5.0493,2022-05-17
428,600409,三友化工,6.74,-0.59,10.56,8.33,1.07,0.10,0.59,5.8,化学原料,1391371.528,3.635,2022-05-17
431,600428,中远海特,4.75,1.28,17.16,33.95,1.03,0.17,1.02,4.77,航运港口,1019659.1162,0.4211,2022-05-17
441,600482,中国动力,14.8,0.68,59.96,52.16,0.88,3.58,1.15,8.47,通用设备,3197809.5302,0.5135,2022-05-17
442,600483,福能股份,11.8,-2.24,16.94,18.18,1.27,-,1.96,13.89,电力行业,2306365.0966,2.1879,2022-05-17
443,600487,亨通光电,10.41,1.07,16.22,17.12,1.18,0.48,0.56,12.94,通信设备,2459061.1159,0.5692,2022-05-17
444,600489,中金黄金,7.08,0.43,20.07,20.21,1.36,2.44,0.59,7.19,贵金属,3431897.2953,2.2655,2022-05-17
449,600498,烽火通信,13.29,0.45,54.25,54.82,1.43,0.11,0.59,-53.29,通信设备,1578623.2512,0.5734,2022-05-17
450,600500,中化国际,6.39,0.95,7.79,8.12,1.48,0.02,0.22,5.99,化学制品,1766941.3756,0.6261,2022-05-17
451,600502,安徽建工,6.67,-7.36,10.28,10.48,1.37,0.30,0.16,-1.73,工程建设,1148013.9014,2.9985,2022-05-17
453,600508,上海能源,17.65,6.2,13.26,34.17,1.13,-,1.13,10.54,煤炭行业,1275597.27,1.5751,2022-05-17
457,600528,中铁工业,8.11,-0.86,9.64,9.71,0.88,5.92,0.66,13.73,交运设备,1801678.3379,1.7386,2022-05-17
460,600535,天士力,10.46,-3.06,10.67,6.69,1.27,0.06,1.96,6.36,中药,1577283.8284,3.1428,2022-05-17
461,600548,深高速,9.0,-1.1,7.93,7.53,0.99,0.38,1.84,5.03,铁路公路,1962693.2934,4.7778,2022-05-17
465,600567,山鹰国际,2.78,-0.71,10.33,8.47,0.79,1.19,0.38,5.19,造纸印刷,1283296.8741,1.3934,2022-05-17
468,600582,天地科技,4.69,-1.26,10.84,11.98,1.0,0.59,0.8,4.77,专用设备,1940998.1903,3.1983,2022-05-17
469,600583,海油工程,4.22,1.2,50.69,50.45,0.82,63.81,0.89,5.79,采掘行业,1865811.7256,1.6588,2022-05-17
470,600585,海螺水泥,37.98,-0.37,6.22,6.05,1.07,-,1.27,6.33,水泥建材,20126751.195,5.5819,2022-05-17
476,600606,绿地控股,4.25,-3.19,11.33,8.79,0.59,-,0.11,1.02,房地产开发,5430038.8942,5.6022,2022-05-17
481,600623,华谊集团,7.46,-0.27,5.25,5.36,0.72,0.01,0.39,2.47,化学原料,1590061.4001,0.8038,2022-05-17
484,600637,东方明珠,7.07,-1.12,13.73,12.98,0.8,0.66,2.76,15.9,文化传媒,2414051.6421,3.7601,2022-05-17
486,600639,浦东金桥,14.69,-3.61,6.86,10.16,1.28,0.09,2.44,36.53,房地产开发,1648824.5398,2.0422,2022-05-17
487,600642,申能股份,5.46,-0.55,27.6,16.33,0.87,-,1.0,12.58,电力行业,2681972.9205,5.079,2022-05-17
489,600648,外高桥,14.51,-1.76,11.63,17.58,1.32,0.35,1.54,3.23,房地产开发,1647391.5789,1.3784,2022-05-17
490,600649,城投控股,4.65,-3.53,9.65,12.9,0.56,0.71,1.28,-1.25,房地产开发,1176252.6698,1.9785,2022-05-17
491,600655,豫园股份,9.9,0.0,10.65,9.98,1.12,1.52,0.74,-5.04,珠宝首饰,3851479.1443,3.3239,2022-05-17
496,600675,中华企业,3.4,-5.29,33.08,25.74,1.34,-,2.19,5.83,房地产开发,2072685.9857,4.0255,2022-05-17
497,600682,南京新百,9.07,-1.41,11.91,11.19,0.7,0.25,2.0,6.12,商业百货,1220941.9244,0.2205,2022-05-17
499,600685,中船防务,14.79,-0.4,237.53,263.34,1.46,-,1.9,2.88,船舶制造,2090575.9331,1.1224,2022-05-17
500,600688,上海石化,3.2,1.59,33.29,17.31,1.13,0.25,0.36,13.34,石油行业,3463620.32,3.125,2022-05-17
504,600704,物产中大,5.02,-0.2,6.37,6.55,0.88,0.12,0.05,-12.13,物流行业,2608408.0841,3.8814,2022-05-17
505,600705,中航产融,3.29,0.3,7.69,6.56,0.8,0.17,1.56,-27.81,多元金融,2934671.6523,3.3702,2022-05-17
511,600717,天津港,4.03,-1.47,12.88,11.99,0.67,0.23,0.86,4.6,航运港口,1166282.4183,1.7783,2022-05-17
513,600720,祁连山,15.2,6.67,13.06,12.45,1.43,-,1.51,6.88,水泥建材,1179961.2286,4.4737,2022-05-17
517,600739,辽宁成大,13.34,-0.74,10.73,9.45,0.72,-,1.14,27.96,贸易行业,2040632.8945,1.6492,2022-05-17
518,600740,山西焦化,5.41,-0.73,10.27,11.0,1.09,1.11,1.16,19.83,煤炭行业,1386107.5443,2.8437,2022-05-17
519,600741,华域汽车,20.62,1.53,9.44,10.05,1.28,0.52,0.46,7.33,汽车零部件,6500916.855,3.6372,2022-05-17
523,600755,厦门国贸,7.96,-1.49,4.84,4.94,0.86,0.16,0.03,-5.21,贸易行业,1685662.1814,5.3272,2022-05-17
529,600782,新钢股份,5.74,0.17,4.16,4.21,0.66,0.07,0.17,5.34,钢铁行业,1830326.8275,5.1269,2022-05-17
